order_item_id,order_id,order_date,customer_id,product_id,category,subcategory,quantity,unit_price,line_subtotal,item_discount_amount,line_total,unit_cost,line_cogs,line_gross_profit
OI152,O500082,2025-03-29,C100028,P1005,Electronics,Audio,1,144.76,144.76,0.0,144.76,92.22,92.22,52.54
OI153,O500083,2025-04-17,C100031,P1082,Sports,Outdoor,1,21.59,21.59,2.16,19.43,13.3,13.3,6.13
OI154,O500084,2024-03-17,C100032,P1043,Fashion,Activewear,1,135.58,135.58,0.0,135.58,54.23,54.23,81.35
OI155,O500084,2024-03-17,C100032,P1039,Fashion,Basics,2,76.34,152.68,15.27,137.41,41.14,82.28,55.13
OI156,O500084,2024-03-17,C100032,P1065,Beauty,Tools,2,35.9,71.8,0.0,71.8,21.18,42.36,29.44
OI157,O500084,2024-03-17,C100032,P1028,Home,Storage,1,77.68,77.68,0.0,77.68,46.79,46.79,30.89
OI158,O500085,2024-05-12,C100032,P1021,Home,Decor,1,32.64,32.64,3.92,28.72,21.95,21.95,6.77
OI159,O500085,2024-05-12,C100032,P1026,Home,Decor,1,138.2,138.2,16.58,121.62,76.77,76.77,44.85
OI160,O500085,2024-05-12,C100032,P1031,Home,Kitchen,1,77.04,77.04,9.24,67.8,44.82,44.82,22.98
OI161,O500086,2024-12-05,C100032,P1037,Fashion,Outerwear,1,139.62,139.62,13.96,125.66,69.53,69.53,56.13
OI162,O500086,2024-12-05,C100032,P1030,Home,Decor,1,21.14,21.14,1.06,20.08,12.23,12.23,7.85
OI163,O500086,2024-12-05,C100032,P1057,Beauty,Haircare,1,65.29,65.29,5.22,60.07,30.02,30.02,30.05
OI164,O500087,2025-01-31,C100032,P1017,Electronics,Audio,1,157.52,157.52,12.6,144.92,108.89,108.89,36.03
OI165,O500088,2025-06-30,C100032,P1023,Home,Decor,2,143.4,286.8,28.68,258.12,84.41,168.82,89.3
OI166,O500088,2025-06-30,C100032,P1024,Home,Bedding,1,42.25,42.25,4.23,38.02,21.82,21.82,16.2
OI167,O500088,2025-06-30,C100032,P1077,Sports,Outdoor,1,15.7,15.7,1.57,14.13,10.85,10.85,3.28
OI168,O500089,2024-02-01,C100033,P1027,Home,Storage,1,135.15,135.15,13.52,121.63,78.86,78.86,42.77
OI169,O500089,2024-02-01,C100033,P1047,Fashion,Outerwear,2,37.85,75.7,7.57,68.13,18.33,36.66,31.47
OI170,O500089,2024-02-01,C100033,P1001,Electronics,Mobile Accessories,1,31.87,31.87,3.19,28.68,19.28,19.28,9.4
OI171,O500089,2024-02-01,C100033,P1030,Home,Decor,1,20.78,20.78,2.08,18.7,12.23,12.23,6.47
OI172,O500090,2024-03-29,C100033,P1031,Home,Kitchen,2,73.88,147.76,0.0,147.76,44.82,89.64,58.12
OI173,O500090,2024-03-29,C100033,P1038,Fashion,Footwear,1,87.65,87.65,4.38,83.27,52.04,52.04,31.23
OI174,O500090,2024-03-29,C100033,P1036,Home,Kitchen,2,43.93,87.86,0.0,87.86,27.15,54.3,33.56
OI175,O500091,2024-06-12,C100033,P1016,Electronics,Mobile Accessories,1,161.0,161.0,0.0,161.0,103.82,103.82,57.18
OI176,O500092,2024-11-02,C100033,P1020,Home,Bedding,1,26.88,26.88,0.0,26.88,14.15,14.15,12.73
OI177,O500092,2024-11-02,C100033,P1003,Electronics,Wearables,1,31.34,31.34,1.57,29.77,23.12,23.12,6.65
OI178,O500092,2024-11-02,C100033,P1064,Beauty,Haircare,1,55.75,55.75,0.0,55.75,20.47,20.47,35.28
OI179,O500092,2024-11-02,C100033,P1028,Home,Storage,2,78.42,156.84,0.0,156.84,46.79,93.58,63.26
OI180,O500093,2025-01-05,C100033,P1085,Sports,Recovery,1,21.98,21.98,2.2,19.78,10.36,10.36,9.42
OI181,O500093,2025-01-05,C100033,P1072,Sports,Outdoor,2,148.34,296.68,29.67,267.01,98.34,196.68,70.33
OI182,O500094,2025-04-20,C100033,P1051,Fashion,Activewear,1,31.23,31.23,3.12,28.11,13.97,13.97,14.14
OI183,O500095,2024-02-16,C100034,P1028,Home,Storage,1,81.68,81.68,6.53,75.15,46.79,46.79,28.36
OI184,O500095,2024-02-16,C100034,P1019,Home,Bedding,1,116.31,116.31,9.3,107.01,66.45,66.45,40.56
OI185,O500096,2024-06-14,C100034,P1036,Home,Kitchen,1,42.28,42.28,3.38,38.9,27.15,27.15,11.75
OI186,O500096,2024-06-14,C100034,P1075,Sports,Hydration,1,22.63,22.63,2.26,20.37,12.82,12.82,7.55
OI187,O500097,2025-03-05,C100035,P1082,Sports,Outdoor,1,22.55,22.55,2.71,19.84,13.3,13.3,6.54
OI188,O500097,2025-03-05,C100035,P1034,Home,Bedding,1,97.58,97.58,11.71,85.87,51.23,51.23,34.64
OI189,O500098,2024-02-11,C100037,P1050,Fashion,Basics,2,42.23,84.46,4.22,80.24,22.11,44.22,36.02
OI190,O500099,2024-05-15,C100037,P1042,Fashion,Activewear,1,44.66,44.66,2.23,42.43,27.67,27.67,14.76
OI191,O500099,2024-05-15,C100037,P1085,Sports,Recovery,1,21.68,21.68,0.0,21.68,10.36,10.36,11.32
OI192,O500099,2024-05-15,C100037,P1007,Electronics,Wearables,2,60.11,120.22,6.01,114.21,41.12,82.24,31.97
OI193,O500099,2024-05-15,C100037,P1063,Beauty,Haircare,2,59.42,118.84,0.0,118.84,31.44,62.88,55.96
OI194,O500100,2024-07-16,C100037,P1026,Home,Decor,1,144.05,144.05,0.0,144.05,76.77,76.77,67.28
OI195,O500101,2024-08-04,C100037,P1059,Beauty,Fragrance,1,60.97,60.97,6.1,54.87,32.04,32.04,22.83
OI196,O500101,2024-08-04,C100037,P1008,Electronics,Audio,1,111.13,111.13,8.89,102.24,81.75,81.75,20.49
OI197,O500102,2024-11-24,C100037,P1050,Fashion,Basics,2,40.5,81.0,0.0,81.0,22.11,44.22,36.78
OI198,O500102,2024-11-24,C100037,P1037,Fashion,Outerwear,1,141.14,141.14,0.0,141.14,69.53,69.53,71.61
OI199,O500102,2024-11-24,C100037,P1033,Home,Bedding,1,100.16,100.16,0.0,100.16,73.21,73.21,26.95
OI200,O500103,2025-01-17,C100037,P1022,Home,Kitchen,1,164.34,164.34,16.43,147.91,111.74,111.74,36.17
OI201,O500103,2025-01-17,C100037,P1076,Sports,Recovery,1,85.43,85.43,4.27,81.16,60.96,60.96,20.2
OI202,O500104,2025-01-28,C100037,P1026,Home,Decor,1,141.71,141.71,14.17,127.54,76.77,76.77,50.77
OI203,O500104,2025-01-28,C100037,P1032,Home,Bedding,1,118.36,118.36,9.47,108.89,83.98,83.98,24.91
OI204,O500104,2025-01-28,C100037,P1067,Beauty,Skincare,1,67.66,67.66,5.41,62.25,20.63,20.63,41.62
OI205,O500105,2025-05-16,C100037,P1028,Home,Storage,2,77.85,155.7,0.0,155.7,46.79,93.58,62.12
OI206,O500106,2024-03-09,C100039,P1045,Fashion,Outerwear,1,129.37,129.37,12.94,116.43,68.88,68.88,47.55
OI207,O500106,2024-03-09,C100039,P1015,Electronics,Audio,2,141.95,283.9,22.71,261.19,107.4,214.8,46.39
OI208,O500107,2024-08-01,C100039,P1032,Home,Bedding,1,113.59,113.59,0.0,113.59,83.98,83.98,29.61
OI209,O500107,2024-08-01,C100039,P1008,Electronics,Audio,1,103.77,103.77,5.19,98.58,81.75,81.75,16.83
OI210,O500107,2024-08-01,C100039,P1086,Sports,Yoga,1,86.72,86.72,0.0,86.72,46.36,46.36,40.36
OI211,O500108,2024-10-13,C100039,P1031,Home,Kitchen,2,77.49,154.98,12.4,142.58,44.82,89.64,52.94
OI212,O500109,2024-10-30,C100039,P1022,Home,Kitchen,2,170.5,341.0,27.28,313.72,111.74,223.48,90.24
OI213,O500110,2025-01-28,C100039,P1044,Fashion,Footwear,2,60.42,120.84,6.04,114.8,36.21,72.42,42.38
OI214,O500111,2025-06-08,C100039,P1086,Sports,Yoga,1,83.51,83.51,0.0,83.51,46.36,46.36,37.15
OI215,O500111,2025-06-08,C100039,P1075,Sports,Hydration,1,23.07,23.07,0.0,23.07,12.82,12.82,10.25
OI216,O500112,2025-01-18,C100040,P1087,Sports,Hydration,1,117.5,117.5,0.0,117.5,74.53,74.53,42.97
OI217,O500112,2025-01-18,C100040,P1062,Beauty,Haircare,1,19.43,19.43,0.0,19.43,10.77,10.77,8.66
OI218,O500113,2025-03-03,C100040,P1034,Home,Bedding,1,95.08,95.08,7.61,87.47,51.23,51.23,36.24
OI219,O500113,2025-03-03,C100040,P1030,Home,Decor,1,21.01,21.01,2.1,18.91,12.23,12.23,6.68
OI220,O500113,2025-03-03,C100040,P1064,Beauty,Haircare,1,55.06,55.06,4.4,50.66,20.47,20.47,30.19
OI221,O500114,2025-04-29,C100041,P1004,Electronics,Audio,1,91.02,91.02,9.1,81.92,72.43,72.43,9.49
