customer_id,signup_date,acquisition_channel,preferred_device,loyalty_tier,country,state_code,state,city,region
C100094,2024-01-15,Meta Ads,Desktop,Standard,United States,IL,Illinois,Chicago,Midwest
C100095,2024-12-22,Email,Desktop,Standard,United States,FL,Florida,Orlando,South
C100096,2024-08-31,Meta Ads,Mobile,Standard,United States,TX,Texas,Austin,South
C100097,2024-12-01,Paid Search,Desktop,Standard,United States,CO,Colorado,Denver,West
C100098,2024-10-11,Meta Ads,Mobile,Standard,United States,CO,Colorado,Boulder,West
C100099,2024-01-19,Organic Search,Mobile,Standard,United States,NY,New York,New York,Northeast
C100100,2023-09-15,Meta Ads,Desktop,Silver,United States,NY,New York,New York,Northeast
C100101,2023-08-20,Direct,Mobile,Silver,United States,TX,Texas,San Antonio,South
C100102,2023-11-27,Referral,Mobile,Silver,United States,TX,Texas,Austin,South
C100103,2024-02-01,Affiliate,Desktop,Silver,United States,NC,North Carolina,Raleigh,South
C100104,2024-07-13,Email,Mobile,Standard,United States,AZ,Arizona,Phoenix,West
C100105,2024-09-26,Affiliate,Desktop,Standard,United States,TX,Texas,Houston,South
C100106,2023-08-21,Paid Search,Mobile,Standard,United States,GA,Georgia,Savannah,South
C100107,2025-03-15,Email,Desktop,Standard,United States,CO,Colorado,Denver,West
C100108,2024-06-06,Direct,Desktop,Standard,United States,FL,Florida,Miami,South
C100109,2025-02-24,Email,Desktop,Standard,United States,FL,Florida,Orlando,South
C100110,2024-12-24,Paid Search,Mobile,Standard,United States,FL,Florida,Jacksonville,South
C100111,2025-05-17,Email,Mobile,Standard,United States,GA,Georgia,Savannah,South
C100112,2024-07-27,Influencer,Tablet,Standard,United States,AZ,Arizona,Tempe,West
C100113,2024-01-25,Paid Search,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100114,2025-05-22,Meta Ads,Mobile,Standard,United States,OH,Ohio,Cleveland,Midwest
C100115,2024-07-24,Direct,Mobile,Standard,United States,AZ,Arizona,Phoenix,West
C100116,2023-06-23,Organic Search,Mobile,Standard,United States,NJ,New Jersey,Newark,Northeast
C100117,2024-11-14,Organic Search,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100118,2023-11-15,Organic Search,Mobile,Silver,United States,GA,Georgia,Atlanta,South
C100119,2023-06-07,Organic Search,Mobile,Standard,United States,TX,Texas,Austin,South
C100120,2025-01-22,Meta Ads,Mobile,Standard,United States,NY,New York,Rochester,Northeast
C100121,2023-02-15,Referral,Mobile,Silver,United States,CA,California,Sacramento,West
C100122,2024-06-10,Meta Ads,Desktop,Standard,United States,AZ,Arizona,Phoenix,West
C100123,2024-03-03,Email,Mobile,Silver,United States,TX,Texas,Austin,South
C100124,2023-01-28,Meta Ads,Desktop,Silver,United States,NY,New York,New York,Northeast
C100125,2025-02-27,Direct,Desktop,Standard,United States,WA,Washington,Seattle,West
C100126,2024-11-20,Direct,Tablet,Standard,United States,TX,Texas,Dallas,South
C100127,2023-10-24,Organic Search,Desktop,Standard,United States,NY,New York,Rochester,Northeast
C100128,2023-10-16,Organic Search,Mobile,Standard,United States,CA,California,San Jose,West
C100129,2024-09-28,Affiliate,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100130,2023-04-23,Direct,Desktop,Standard,United States,NC,North Carolina,Raleigh,South
C100131,2025-05-07,Affiliate,Mobile,Standard,United States,CA,California,San Francisco,West
C100132,2024-11-16,Referral,Mobile,Standard,United States,CA,California,Sacramento,West
C100133,2023-07-19,Meta Ads,Mobile,Silver,United States,OH,Ohio,Columbus,Midwest
C100134,2023-04-22,Email,Desktop,Standard,United States,WA,Washington,Bellevue,West
C100135,2024-12-18,Influencer,Mobile,Standard,United States,MA,Massachusetts,Boston,Northeast
C100136,2024-06-20,Affiliate,Desktop,Standard,United States,TX,Texas,Dallas,South
C100137,2025-03-13,Paid Search,Desktop,Standard,United States,GA,Georgia,Savannah,South
C100138,2023-06-05,Paid Search,Mobile,Standard,United States,CA,California,San Jose,West
C100139,2024-08-18,Paid Search,Desktop,Standard,United States,NC,North Carolina,Charlotte,South
C100140,2024-04-11,Meta Ads,Mobile,Standard,United States,CA,California,San Francisco,West
C100141,2025-04-03,Paid Search,Desktop,Standard,United States,NY,New York,New York,Northeast
C100142,2025-01-06,Organic Search,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100143,2024-12-01,Paid Search,Desktop,Standard,United States,NC,North Carolina,Charlotte,South
C100144,2023-04-19,Paid Search,Desktop,Silver,United States,NJ,New Jersey,Jersey City,Northeast
C100145,2023-04-29,Meta Ads,Mobile,Silver,United States,AZ,Arizona,Tempe,West
C100146,2023-07-24,Direct,Mobile,Silver,United States,FL,Florida,Miami,South
C100147,2025-03-27,Paid Search,Mobile,Standard,United States,CA,California,San Jose,West
C100148,2024-12-24,Organic Search,Mobile,Standard,United States,NY,New York,New York,Northeast
C100149,2024-07-04,Direct,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100150,2023-05-22,Paid Search,Mobile,Standard,United States,TX,Texas,Dallas,South
C100151,2023-01-11,Email,Mobile,Silver,United States,TX,Texas,San Antonio,South
C100152,2023-05-25,Direct,Mobile,Silver,United States,OR,Oregon,Salem,West
C100153,2024-01-21,Organic Search,Mobile,Silver,United States,IL,Illinois,Springfield,Midwest
C100154,2023-10-07,Organic Search,Mobile,Standard,United States,MA,Massachusetts,Boston,Northeast
C100155,2025-05-04,Email,Mobile,Standard,United States,NY,New York,Buffalo,Northeast
C100156,2025-03-21,Organic Search,Mobile,Standard,United States,NY,New York,Rochester,Northeast
C100157,2023-07-27,Direct,Mobile,Standard,United States,CA,California,San Jose,West
C100158,2023-09-14,Referral,Desktop,Silver,United States,FL,Florida,Miami,South
C100159,2024-11-20,Paid Search,Desktop,Standard,United States,OR,Oregon,Portland,West
C100160,2023-09-26,Influencer,Mobile,Silver,United States,TX,Texas,Austin,South
C100161,2025-04-20,Organic Search,Mobile,Standard,United States,AZ,Arizona,Phoenix,West
C100162,2024-09-06,Direct,Mobile,Standard,United States,OH,Ohio,Cleveland,Midwest
C100163,2025-05-01,Meta Ads,Mobile,Standard,United States,IL,Illinois,Springfield,Midwest
C100164,2024-01-27,Email,Tablet,Standard,United States,TX,Texas,Houston,South
C100165,2024-07-29,Organic Search,Desktop,Standard,United States,WA,Washington,Bellevue,West
C100166,2023-01-12,Influencer,Desktop,Silver,United States,NY,New York,Rochester,Northeast
C100167,2025-03-06,Email,Mobile,Standard,United States,NJ,New Jersey,Newark,Northeast
C100168,2024-01-07,Organic Search,Mobile,Standard,United States,FL,Florida,Miami,South
C100169,2023-01-17,Organic Search,Mobile,Standard,United States,TX,Texas,San Antonio,South
C100170,2024-04-12,Direct,Mobile,Standard,United States,TX,Texas,Austin,South
C100171,2023-06-29,Organic Search,Mobile,Standard,United States,FL,Florida,Jacksonville,South
C100172,2023-03-11,Meta Ads,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100173,2024-06-13,Organic Search,Desktop,Standard,United States,FL,Florida,Miami,South
C100174,2025-03-13,Paid Search,Mobile,Standard,United States,CO,Colorado,Denver,West
C100175,2025-04-28,Organic Search,Mobile,Standard,United States,OH,Ohio,Cleveland,Midwest
C100176,2024-11-01,Referral,Mobile,Standard,United States,IL,Illinois,Springfield,Midwest
C100177,2024-05-12,Paid Search,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100178,2023-11-05,Email,Mobile,Silver,United States,TX,Texas,San Antonio,South
C100179,2023-06-28,Meta Ads,Mobile,Standard,United States,CA,California,San Francisco,West
C100180,2024-11-04,Paid Search,Mobile,Standard,United States,CA,California,San Francisco,West
C100181,2023-05-06,Organic Search,Desktop,Standard,United States,CA,California,Los Angeles,West
C100182,2023-10-17,Meta Ads,Desktop,Standard,United States,NY,New York,Rochester,Northeast
C100183,2024-09-19,Paid Search,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100184,2023-12-14,Organic Search,Mobile,Silver,United States,AZ,Arizona,Tempe,West
C100185,2025-02-03,Referral,Desktop,Standard,United States,NY,New York,New York,Northeast
C100186,2023-12-22,Meta Ads,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100187,2024-12-03,Direct,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100188,2023-04-28,Email,Mobile,Silver,United States,NC,North Carolina,Raleigh,South
C100189,2023-05-01,Paid Search,Mobile,Silver,United States,GA,Georgia,Savannah,South
C100190,2023-01-11,Organic Search,Desktop,Standard,United States,NY,New York,New York,Northeast
C100191,2023-11-08,Referral,Mobile,Silver,United States,FL,Florida,Jacksonville,South
C100192,2024-10-30,Organic Search,Mobile,Standard,United States,TX,Texas,Houston,South
C100193,2023-01-22,Affiliate,Tablet,Silver,United States,CA,California,San Francisco,West
C100194,2023-08-31,Email,Desktop,Silver,United States,MI,Michigan,Detroit,Midwest
C100195,2023-12-08,Direct,Mobile,Silver,United States,MI,Michigan,Detroit,Midwest
C100196,2024-01-17,Paid Search,Mobile,Standard,United States,CO,Colorado,Denver,West
C100197,2025-05-01,Referral,Mobile,Standard,United States,CA,California,Sacramento,West
C100198,2025-01-25,Organic Search,Mobile,Standard,United States,NY,New York,New York,Northeast
C100199,2023-09-12,Direct,Mobile,Standard,United States,FL,Florida,Orlando,South
C100200,2024-04-16,Direct,Desktop,Standard,United States,NC,North Carolina,Raleigh,South
C100201,2025-03-07,Organic Search,Desktop,Standard,United States,IL,Illinois,Springfield,Midwest
C100202,2023-07-19,Organic Search,Desktop,Standard,United States,CA,California,San Diego,West
C100203,2024-02-03,Direct,Mobile,Silver,United States,MA,Massachusetts,Cambridge,Northeast
C100204,2024-10-16,Meta Ads,Mobile,Standard,United States,CA,California,Los Angeles,West
C100205,2023-11-01,Influencer,Desktop,Silver,United States,AZ,Arizona,Tempe,West
C100206,2025-01-17,Paid Search,Tablet,Standard,United States,CA,California,San Diego,West
C100207,2025-03-27,Meta Ads,Mobile,Standard,United States,NY,New York,Buffalo,Northeast
C100208,2024-05-01,Organic Search,Mobile,Standard,United States,NC,North Carolina,Raleigh,South
C100209,2023-12-14,Affiliate,Desktop,Silver,United States,CA,California,San Francisco,West
C100210,2023-03-24,Paid Search,Mobile,Silver,United States,TX,Texas,Austin,South
C100211,2023-08-15,Referral,Mobile,Silver,United States,NY,New York,New York,Northeast
C100212,2024-05-04,Affiliate,Desktop,Standard,United States,TX,Texas,Austin,South
C100213,2025-02-15,Affiliate,Mobile,Standard,United States,CA,California,San Francisco,West
C100214,2024-05-01,Meta Ads,Desktop,Standard,United States,CO,Colorado,Boulder,West
C100215,2025-05-27,Paid Search,Mobile,Standard,United States,WA,Washington,Tacoma,West
C100216,2023-02-25,Direct,Mobile,Standard,United States,TX,Texas,Houston,South
C100217,2025-05-26,Meta Ads,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100218,2025-03-30,Direct,Mobile,Standard,United States,TX,Texas,San Antonio,South
C100219,2023-11-05,Organic Search,Desktop,Standard,United States,CA,California,San Jose,West
C100220,2023-11-19,Meta Ads,Mobile,Silver,United States,OH,Ohio,Cleveland,Midwest
C100221,2023-11-28,Organic Search,Mobile,Standard,United States,MA,Massachusetts,Cambridge,Northeast
C100222,2023-11-26,Affiliate,Mobile,Silver,United States,AZ,Arizona,Phoenix,West
C100223,2025-01-20,Paid Search,Mobile,Standard,United States,CA,California,San Jose,West
C100224,2023-01-01,Organic Search,Desktop,Silver,United States,NY,New York,New York,Northeast
C100225,2023-08-17,Affiliate,Desktop,Silver,United States,NC,North Carolina,Raleigh,South
C100226,2024-09-05,Affiliate,Mobile,Standard,United States,NY,New York,Buffalo,Northeast
C100227,2023-12-24,Email,Desktop,Standard,United States,CA,California,San Francisco,West
C100228,2023-11-06,Organic Search,Desktop,Silver,United States,OH,Ohio,Columbus,Midwest
C100229,2023-11-05,Organic Search,Mobile,Silver,United States,CA,California,San Diego,West
C100230,2025-05-30,Affiliate,Mobile,Standard,United States,MI,Michigan,Detroit,Midwest
C100231,2025-01-04,Direct,Desktop,Standard,United States,GA,Georgia,Savannah,South
C100232,2023-05-12,Paid Search,Desktop,Silver,United States,OR,Oregon,Salem,West
C100233,2024-09-01,Meta Ads,Mobile,Standard,United States,GA,Georgia,Savannah,South
C100234,2023-03-18,Meta Ads,Desktop,Standard,United States,NY,New York,New York,Northeast
C100235,2023-06-21,Influencer,Desktop,Standard,United States,CA,California,San Francisco,West
C100236,2024-02-01,Paid Search,Tablet,Standard,United States,TX,Texas,San Antonio,South
C100237,2024-02-12,Affiliate,Mobile,Standard,United States,TX,Texas,Austin,South
C100238,2023-07-17,Meta Ads,Tablet,Standard,United States,OH,Ohio,Cleveland,Midwest
C100239,2023-12-12,Influencer,Desktop,Standard,United States,FL,Florida,Jacksonville,South
C100240,2024-04-21,Direct,Tablet,Standard,United States,IL,Illinois,Springfield,Midwest
C100241,2024-10-30,Meta Ads,Mobile,Standard,United States,AZ,Arizona,Phoenix,West
C100242,2025-05-18,Direct,Mobile,Standard,United States,WA,Washington,Tacoma,West
C100243,2025-04-04,Referral,Tablet,Standard,United States,CA,California,Los Angeles,West
C100244,2023-11-24,Organic Search,Desktop,Standard,United States,TX,Texas,Austin,South
C100245,2023-02-06,Referral,Desktop,Silver,United States,WA,Washington,Bellevue,West
C100246,2024-12-02,Direct,Desktop,Standard,United States,CA,California,San Jose,West
C100247,2023-05-01,Paid Search,Mobile,Silver,United States,NY,New York,Rochester,Northeast
C100248,2024-01-11,Direct,Mobile,Standard,United States,NY,New York,New York,Northeast
C100249,2023-05-15,Paid Search,Desktop,Silver,United States,OH,Ohio,Columbus,Midwest
C100250,2024-08-04,Direct,Mobile,Standard,United States,OH,Ohio,Cleveland,Midwest
C100251,2023-06-11,Meta Ads,Mobile,Silver,United States,NY,New York,Buffalo,Northeast
C100252,2024-10-18,Paid Search,Mobile,Standard,United States,CA,California,Sacramento,West
C100253,2024-12-26,Direct,Mobile,Standard,United States,CA,California,San Jose,West
C100254,2023-04-27,Direct,Mobile,Silver,United States,CA,California,San Diego,West
C100255,2024-08-17,Direct,Mobile,Standard,United States,WA,Washington,Tacoma,West
C100256,2023-04-21,Direct,Mobile,Standard,United States,GA,Georgia,Savannah,South
C100257,2024-12-07,Affiliate,Desktop,Standard,United States,IL,Illinois,Chicago,Midwest
C100258,2025-04-20,Paid Search,Mobile,Standard,United States,NY,New York,Rochester,Northeast
C100259,2024-09-04,Organic Search,Mobile,Standard,United States,CA,California,San Francisco,West
C100260,2023-10-28,Referral,Mobile,Silver,United States,CA,California,Sacramento,West
C100261,2023-11-21,Meta Ads,Desktop,Silver,United States,FL,Florida,Orlando,South
C100262,2025-02-10,Direct,Mobile,Standard,United States,NY,New York,Rochester,Northeast
C100263,2025-01-02,Affiliate,Mobile,Standard,United States,AZ,Arizona,Phoenix,West
C100264,2024-07-23,Direct,Mobile,Standard,United States,NY,New York,New York,Northeast
C100265,2023-07-19,Email,Desktop,Standard,United States,TX,Texas,San Antonio,South
C100266,2024-10-10,Organic Search,Desktop,Standard,United States,NY,New York,Buffalo,Northeast
C100267,2023-10-11,Organic Search,Tablet,Standard,United States,CA,California,Sacramento,West
C100268,2024-02-07,Organic Search,Desktop,Silver,United States,TX,Texas,Dallas,South
C100269,2024-03-27,Referral,Tablet,Silver,United States,IL,Illinois,Springfield,Midwest
C100270,2025-03-25,Paid Search,Desktop,Standard,United States,FL,Florida,Jacksonville,South
C100271,2023-10-24,Organic Search,Mobile,Silver,United States,CO,Colorado,Denver,West
C100272,2024-10-15,Organic Search,Mobile,Standard,United States,TX,Texas,Dallas,South
C100273,2025-02-14,Direct,Mobile,Standard,United States,NY,New York,New York,Northeast
C100274,2023-12-13,Email,Mobile,Standard,United States,CA,California,San Francisco,West
C100275,2025-02-06,Paid Search,Mobile,Standard,United States,IL,Illinois,Springfield,Midwest
C100276,2023-01-22,Email,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100277,2025-01-11,Direct,Mobile,Standard,United States,OR,Oregon,Salem,West
C100278,2024-07-21,Direct,Mobile,Standard,United States,CA,California,San Jose,West
C100279,2023-11-13,Paid Search,Desktop,Silver,United States,NY,New York,Buffalo,Northeast
C100280,2024-10-07,Organic Search,Mobile,Standard,United States,WA,Washington,Bellevue,West
C100281,2023-11-12,Organic Search,Mobile,Standard,United States,NY,New York,Rochester,Northeast
C100282,2023-01-26,Organic Search,Desktop,Standard,United States,NY,New York,Rochester,Northeast
C100283,2024-02-24,Direct,Mobile,Silver,United States,CA,California,San Jose,West
C100284,2023-08-11,Organic Search,Mobile,Standard,United States,CO,Colorado,Boulder,West
C100285,2025-04-28,Paid Search,Mobile,Standard,United States,MA,Massachusetts,Boston,Northeast
C100286,2024-02-24,Organic Search,Desktop,Silver,United States,AZ,Arizona,Tempe,West
C100287,2024-04-15,Influencer,Desktop,Standard,United States,FL,Florida,Jacksonville,South
C100288,2024-08-14,Paid Search,Mobile,Standard,United States,NC,North Carolina,Raleigh,South
C100289,2025-03-15,Referral,Mobile,Standard,United States,TX,Texas,Austin,South
C100290,2024-08-24,Organic Search,Mobile,Standard,United States,FL,Florida,Orlando,South
C100291,2023-03-11,Organic Search,Desktop,Silver,United States,CA,California,San Diego,West
C100292,2024-12-07,Email,Desktop,Standard,United States,NC,North Carolina,Charlotte,South
C100293,2024-05-17,Direct,Mobile,Standard,United States,FL,Florida,Orlando,South
C100294,2024-01-12,Organic Search,Mobile,Standard,United States,CA,California,Sacramento,West
C100295,2023-03-07,Paid Search,Desktop,Silver,United States,IL,Illinois,Springfield,Midwest
C100296,2024-09-01,Meta Ads,Desktop,Standard,United States,OH,Ohio,Columbus,Midwest
C100297,2023-04-12,Email,Tablet,Standard,United States,TX,Texas,San Antonio,South
C100298,2023-12-07,Direct,Mobile,Silver,United States,CA,California,San Jose,West
C100299,2023-03-29,Organic Search,Mobile,Standard,United States,OH,Ohio,Cleveland,Midwest
C100300,2023-04-07,Paid Search,Mobile,Silver,United States,MA,Massachusetts,Cambridge,Northeast
C100301,2024-03-01,Influencer,Desktop,Standard,United States,TX,Texas,Dallas,South
C100302,2024-11-23,Organic Search,Mobile,Standard,United States,FL,Florida,Orlando,South
C100303,2024-10-10,Referral,Tablet,Standard,United States,FL,Florida,Orlando,South
C100304,2023-09-15,Meta Ads,Mobile,Standard,United States,NY,New York,New York,Northeast
C100305,2023-12-17,Direct,Mobile,Silver,United States,TX,Texas,Dallas,South
C100306,2024-01-16,Organic Search,Mobile,Standard,United States,FL,Florida,Tampa,South
C100307,2023-07-28,Paid Search,Desktop,Silver,United States,OR,Oregon,Portland,West
C100308,2024-11-20,Direct,Mobile,Standard,United States,NY,New York,Buffalo,Northeast
C100309,2024-02-05,Meta Ads,Tablet,Silver,United States,OH,Ohio,Columbus,Midwest
C100310,2025-03-01,Paid Search,Desktop,Standard,United States,MI,Michigan,Grand Rapids,Midwest
C100311,2024-12-17,Organic Search,Mobile,Standard,United States,TX,Texas,Houston,South
C100312,2023-12-24,Direct,Mobile,Silver,United States,NY,New York,Rochester,Northeast
C100313,2024-05-07,Meta Ads,Mobile,Standard,United States,TX,Texas,Dallas,South
C100314,2023-09-15,Referral,Tablet,Silver,United States,TX,Texas,Austin,South
C100315,2024-11-29,Referral,Tablet,Standard,United States,NY,New York,Rochester,Northeast
C100316,2025-01-26,Paid Search,Mobile,Standard,United States,WA,Washington,Tacoma,West
C100317,2024-05-11,Meta Ads,Mobile,Standard,United States,NC,North Carolina,Raleigh,South
