month,channel,spend,impressions,clicks,sessions,attributed_orders,attributed_revenue
2024-07-01,Influencer,13580.56,513620,10079,9545,169,16807.1
2024-08-01,Paid Search,32346.1,543741,19121,17330,584,65772.73
2024-08-01,Meta Ads,25010.99,2068874,29869,26339,528,49096.56
2024-08-01,Email,8690.63,690358,25503,24649,1224,133633.01
2024-08-01,Affiliate,12039.76,447014,10434,8984,257,27796.73
2024-08-01,Influencer,15074.31,541815,10450,9371,156,15423.83
2024-09-01,Paid Search,37293.6,652794,24018,21231,682,73794.73
2024-09-01,Meta Ads,27484.8,2147754,27066,25045,522,45657.08
2024-09-01,Email,9350.37,779923,28991,28102,1355,161941.41
2024-09-01,Affiliate,13696.05,597883,12836,11852,326,34548.08
2024-09-01,Influencer,14756.15,592056,10792,10151,174,16419.31
2024-10-01,Paid Search,39434.33,599059,21923,19596,564,61848.28
2024-10-01,Meta Ads,28320.35,2114881,30397,26835,487,46655.59
2024-10-01,Email,11232.52,816767,33650,30431,1628,189890.31
2024-10-01,Affiliate,11902.35,419867,10069,9359,257,25122.74
2024-10-01,Influencer,16609.69,588019,11553,10717,173,15974.06
2024-11-01,Paid Search,49077.4,861559,29170,28063,955,105632.05
2024-11-01,Meta Ads,33084.14,2655358,38302,36829,655,64310.87
2024-11-01,Email,12867.11,874630,36491,31999,1434,171147.79
2024-11-01,Affiliate,19031.03,727514,16777,15122,426,40742.26
2024-11-01,Influencer,22034.26,807802,14547,14059,238,23020.14
2024-12-01,Paid Search,47393.32,758088,26777,25451,825,89705.43
2024-12-01,Meta Ads,37245.35,2948845,38996,35415,678,67122.89
2024-12-01,Email,12937.73,917188,37946,33196,1450,171438.59
2024-12-01,Affiliate,20232.0,793852,16983,16301,416,44028.06
2024-12-01,Influencer,25737.26,941637,17661,16256,268,24461.53
2025-01-01,Paid Search,30110.49,448437,17359,15686,540,61741.59
2025-01-01,Meta Ads,20046.87,1538551,21974,20546,352,31715.63
2025-01-01,Email,7660.79,609553,23802,20503,939,107072.25
2025-01-01,Affiliate,10610.99,436142,10529,9786,271,27220.51
2025-01-01,Influencer,13916.54,543390,9069,8719,141,13659.38
2025-02-01,Paid Search,32433.41,547598,19421,18334,546,61416.06
2025-02-01,Meta Ads,23978.2,1889532,26652,25621,523,48304.7
2025-02-01,Email,8607.88,716361,27128,25519,1122,124821.1
2025-02-01,Affiliate,11695.68,496838,11532,10747,268,26828.59
2025-02-01,Influencer,14628.73,607559,10517,9379,150,14079.13
2025-03-01,Paid Search,29097.93,564621,19114,18487,638,67694.38
2025-03-01,Meta Ads,26144.13,2203419,29886,26427,556,54055.47
2025-03-01,Email,9616.27,652441,27111,25064,1190,143789.5
2025-03-01,Affiliate,12034.16,511882,10786,10064,278,26790.09
2025-03-01,Influencer,15035.02,553503,10538,9965,167,16296.5
2025-04-01,Paid Search,29535.56,491169,16930,16089,494,52849.95
2025-04-01,Meta Ads,27547.94,1996049,27099,25465,448,44505.84
2025-04-01,Email,10346.35,751654,29899,27106,1314,146742.29
2025-04-01,Affiliate,12033.61,474422,10717,9943,297,29850.65
2025-04-01,Influencer,17004.75,712921,12348,11430,178,16183.32
2025-05-01,Paid Search,29779.33,481890,17219,15059,429,43628.02
2025-05-01,Meta Ads,28442.23,2049115,29324,25508,489,45151.64
2025-05-01,Email,9679.15,618473,25775,22336,1132,132026.58
2025-05-01,Affiliate,12391.71,545499,12102,10689,260,27550.78
2025-05-01,Influencer,14323.94,582233,9649,9140,145,14157.23
2025-06-01,Paid Search,29029.04,466778,16923,16347,560,59588.41
2025-06-01,Meta Ads,23440.98,1860220,26694,23198,440,39727.63
2025-06-01,Email,8831.39,623404,24835,23354,1052,121051.27
2025-06-01,Affiliate,13302.53,513495,11832,11086,290,27844.67
2025-06-01,Influencer,14575.8,476518,9055,8044,143,14347.22
