order_id,order_date,ship_date,delivery_date,customer_id,region,state,city,sales_channel,payment_method,shipping_type,coupon_code,order_status,is_first_order,customer_order_number,order_gross_sales,item_discount_amount,coupon_discount_amount,order_net_sales,shipping_fee,tax_amount,order_total,order_cogs,order_gross_profit
O500025,2024-08-07,2024-08-10,2024-08-13,C100009,Midwest,Illinois,Chicago,Website,Buy Now Pay Later,Standard,FREESHIP,Delivered,False,3,114.33,0.0,0.0,114.33,0.0,10.47,124.8,83.98,30.35
O500026,2024-02-25,2024-02-28,2024-03-04,C100010,West,California,San Jose,Website,Apple Pay,Standard,NEWYEAR10,Delivered,True,1,147.56,11.8,6.79,128.97,0.0,10.26,139.23,82.28,46.69
O500027,2024-08-09,2024-08-10,2024-08-12,C100010,West,California,San Jose,Website,PayPal,Express,WELCOME10,Delivered,False,2,226.76,21.52,0.0,205.24,6.0,15.99,227.23,140.85,64.39
O500028,2024-08-21,2024-08-22,2024-08-24,C100010,West,California,San Jose,Mobile App,Apple Pay,Standard,BF2024,Delivered,False,3,251.3,25.13,6.79,219.38,0.0,17.38,236.76,135.58,83.8
O500029,2024-01-24,2024-01-26,2024-01-29,C100011,South,Florida,Miami,Website,Buy Now Pay Later,Standard,NEWYEAR10,Delivered,True,1,168.58,14.19,0.0,154.39,0.0,12.82,167.21,81.93,72.46
O500030,2024-03-19,2024-03-21,2024-03-24,C100011,South,Florida,Miami,Mobile App,Credit Card,Standard,SUMMER10,Delivered,False,2,21.94,1.1,0.63,20.21,5.99,1.35,27.55,10.36,9.85
O500031,2025-01-03,2025-01-05,2025-01-08,C100011,South,Florida,Miami,Mobile App,Credit Card,Standard,,Delivered,False,3,222.18,2.2,0.0,219.98,0.0,14.54,234.52,148.62,71.36
O500032,2025-01-27,2025-01-31,2025-02-03,C100011,South,Florida,Miami,Website,Buy Now Pay Later,Standard,VIP20,Delivered,False,4,21.83,2.62,0.58,18.63,5.99,1.2,25.82,10.36,8.27
O500033,2025-05-08,2025-05-09,2025-05-12,C100012,Northeast,Massachusetts,Cambridge,Website,Apple Pay,Express,FREESHIP,Delivered,True,1,58.8,0.0,0.0,58.8,6.0,3.92,68.72,23.03,35.77
O500034,2025-05-23,2025-05-26,2025-06-01,C100012,Northeast,Massachusetts,Cambridge,Website,Credit Card,Standard,,Delivered,False,2,68.81,0.0,0.0,68.81,5.99,4.06,78.86,40.49,28.32
O500035,2024-02-27,2024-03-02,2024-03-05,C100014,Midwest,Michigan,Grand Rapids,Website,Credit Card,Standard,,Delivered,True,1,271.95,0.0,0.0,271.95,0.0,18.66,290.61,151.91,120.04
O500036,2024-05-18,2024-05-19,2024-05-23,C100014,Midwest,Michigan,Grand Rapids,Mobile App,PayPal,Standard,SPRING15,Delivered,False,2,129.01,11.83,3.52,113.66,0.0,7.76,121.42,69.42,44.24
O500037,2024-07-16,2024-07-19,2024-07-22,C100014,Midwest,Michigan,Grand Rapids,Website,Buy Now Pay Later,Standard,FREESHIP,Delivered,False,3,24.4,0.0,0.0,24.4,0.0,1.54,25.94,12.82,11.58
O500038,2025-03-19,2025-03-22,2025-03-27,C100014,Midwest,Michigan,Grand Rapids,Website,Credit Card,Standard,,Delivered,False,4,44.98,0.0,0.0,44.98,5.99,2.97,53.94,26.6,18.38
O500039,2024-01-19,2024-01-20,2024-01-23,C100015,Midwest,Illinois,Springfield,Website,Apple Pay,Standard,SUMMER10,Delivered,True,1,144.7,14.47,0.0,130.23,0.0,9.92,140.15,73.38,56.85
O500040,2024-09-16,2024-09-18,2024-09-24,C100015,Midwest,Illinois,Springfield,Website,Credit Card,Standard,SUMMER10,Delivered,False,2,253.39,25.34,0.0,228.05,0.0,21.18,249.23,165.43,62.62
O500041,2024-10-07,2024-10-09,2024-10-14,C100015,Midwest,Illinois,Springfield,Marketplace,PayPal,Express,NEWYEAR10,Delivered,False,3,78.78,6.3,0.0,72.48,11.99,5.35,89.82,38.33,34.15
O500042,2024-03-21,2024-03-23,2024-03-29,C100016,West,Oregon,Salem,Mobile App,Credit Card,Express,BF2024,Delivered,True,1,92.14,9.21,0.0,82.93,11.99,7.21,102.13,61.57,21.36
O500043,2024-12-12,2024-12-14,2024-12-18,C100017,West,Oregon,Portland,Website,Credit Card,Express,,Delivered,True,1,247.94,0.0,0.0,247.94,6.0,22.6,276.54,158.53,89.41
O500044,2024-10-24,2024-10-26,2024-10-31,C100018,Northeast,New York,New York,Website,Google Pay,Standard,NEWYEAR10,Delivered,True,1,114.89,6.95,0.0,107.94,0.0,10.13,118.07,81.53,26.41
O500045,2025-03-09,2025-03-10,2025-03-14,C100018,Northeast,New York,New York,Website,Apple Pay,Same Day,SPRING15,Delivered,False,2,258.92,20.71,7.15,231.06,13.0,20.86,264.92,153.94,77.12
O500046,2025-05-25,2025-05-26,2025-05-28,C100018,Northeast,New York,New York,Mobile App,Credit Card,Standard,WELCOME10,Delivered,False,3,645.72,51.66,17.82,576.24,0.0,52.57,628.81,400.05,176.19
O500047,2024-05-16,2024-05-17,2024-05-20,C100019,South,Georgia,Atlanta,Mobile App,Apple Pay,Standard,BF2024,Delivered,True,1,174.15,17.42,7.84,148.89,0.0,13.93,162.82,93.95,54.94
O500048,2024-07-05,2024-07-08,2024-07-11,C100019,South,Georgia,Atlanta,Website,Credit Card,Standard,SPRING15,Delivered,False,2,150.57,7.53,0.0,143.04,0.0,11.21,154.25,103.82,39.22
O500049,2024-12-25,2024-12-27,2025-01-01,C100019,South,Georgia,Atlanta,Marketplace,Apple Pay,Standard,,Delivered,False,3,226.87,0.0,0.0,226.87,0.0,13.51,240.38,127.66,99.21
O500050,2025-04-30,2025-05-02,2025-05-06,C100019,South,Georgia,Atlanta,Mobile App,Buy Now Pay Later,Standard,FREESHIP,Delivered,False,4,31.91,0.0,0.0,31.91,0.0,2.51,34.42,13.97,17.94
O500051,2025-06-18,2025-06-20,2025-06-23,C100019,South,Georgia,Atlanta,Website,Credit Card,Express,,Delivered,False,5,161.25,0.0,0.0,161.25,6.0,13.62,180.87,111.74,49.51
O500052,2025-04-28,2025-04-29,2025-05-02,C100021,South,Texas,Dallas,Website,PayPal,Standard,,Delivered,True,1,164.3,0.0,0.0,164.3,0.0,10.15,174.45,102.45,61.85
O500053,2024-07-06,2024-07-08,2024-07-11,C100022,West,Colorado,Boulder,Mobile App,Credit Card,Express,,Delivered,True,1,242.84,0.0,0.0,242.84,6.0,16.72,265.56,159.34,83.5
O500054,2024-11-19,2024-11-20,2024-11-23,C100022,West,Colorado,Boulder,Mobile App,Credit Card,Standard,SPRING15,Delivered,False,2,251.2,23.22,0.0,227.98,0.0,18.81,246.79,162.71,65.27
O500055,2025-01-21,2025-01-23,2025-01-27,C100022,West,Colorado,Boulder,Website,Apple Pay,Standard,VIP20,Delivered,False,3,15.73,1.89,0.69,13.15,5.99,0.78,19.92,10.85,2.3
O500056,2025-02-24,2025-02-27,2025-03-02,C100022,West,Colorado,Boulder,Website,PayPal,Standard,,Delivered,False,4,94.83,0.0,0.0,94.83,5.99,8.45,109.27,53.71,41.12
O500057,2025-03-12,2025-03-15,2025-03-19,C100022,West,Colorado,Boulder,Mobile App,PayPal,Standard,BF2024,Delivered,False,5,150.01,15.0,4.05,130.96,0.0,10.63,141.59,92.22,38.74
O500058,2024-02-14,2024-02-16,2024-02-20,C100024,South,Florida,Orlando,Website,Credit Card,Standard,WELCOME10,Delivered,True,1,27.98,2.8,1.26,23.92,5.99,2.25,32.16,18.03,5.89
O500059,2024-05-10,2024-05-12,2024-05-16,C100024,South,Florida,Orlando,Mobile App,Credit Card,Standard,,Delivered,False,2,326.76,0.0,0.0,326.76,0.0,19.14,345.9,217.78,108.98
O500060,2024-08-23,2024-08-26,2024-08-29,C100024,South,Florida,Orlando,Website,Credit Card,Standard,SPRING15,Delivered,False,3,362.57,23.69,10.17,328.71,0.0,18.61,347.32,275.59,53.12
O500061,2024-11-13,2024-11-15,2024-11-20,C100024,South,Florida,Orlando,Mobile App,PayPal,Standard,FREESHIP,Delivered,False,4,88.35,0.0,0.0,88.35,0.0,5.52,93.87,72.43,15.92
O500062,2024-12-03,2024-12-05,2024-12-08,C100024,South,Florida,Orlando,Mobile App,Google Pay,Standard,,Delivered,False,5,169.27,0.0,0.0,169.27,0.0,13.53,182.8,77.53,91.74
O500063,2025-01-31,2025-02-04,2025-02-08,C100024,South,Florida,Orlando,Website,Credit Card,Express,VIP20,Delivered,False,6,240.51,28.86,6.35,205.3,6.0,17.4,228.7,165.96,39.34
O500064,2025-03-12,2025-03-15,2025-03-18,C100024,South,Florida,Orlando,Mobile App,Apple Pay,Standard,VIP20,Delivered,False,7,272.83,32.74,0.0,240.09,0.0,22.32,262.41,188.32,51.77
O500065,2025-05-18,2025-05-19,2025-05-25,C100025,Midwest,Illinois,Chicago,Mobile App,Credit Card,Standard,,Delivered,True,1,305.97,4.35,0.0,301.62,0.0,21.03,322.65,195.61,106.01
O500066,2024-01-16,2024-01-17,2024-01-22,C100026,Northeast,New York,Buffalo,Mobile App,Credit Card,Standard,,Delivered,True,1,69.44,0.0,0.0,69.44,5.99,3.91,79.34,43.6,25.84
O500067,2024-01-22,2024-01-23,2024-01-26,C100026,Northeast,New York,Buffalo,Mobile App,Credit Card,Same Day,,Delivered,False,2,195.69,0.0,0.0,195.69,13.0,16.52,225.21,114.04,81.65
O500068,2024-02-27,2024-02-28,2024-03-02,C100026,Northeast,New York,Buffalo,Mobile App,PayPal,Standard,SPRING15,Delivered,False,3,397.15,32.07,0.0,365.08,0.0,27.58,392.66,235.41,129.67
O500069,2024-03-15,2024-03-17,2024-03-20,C100026,Northeast,New York,Buffalo,Marketplace,Credit Card,Standard,FREESHIP,Delivered,False,4,284.78,19.57,0.0,265.21,0.0,23.67,288.88,179.16,86.05
O500070,2024-04-22,2024-04-23,2024-04-27,C100026,Northeast,New York,Buffalo,Website,Google Pay,Standard,SUMMER10,Delivered,False,5,68.84,6.88,1.86,60.1,5.99,4.45,70.54,42.36,17.74
O500071,2024-08-31,2024-09-01,2024-09-05,C100026,Northeast,New York,Buffalo,Website,Apple Pay,Express,,Delivered,False,6,173.84,0.0,0.0,173.84,6.0,12.96,192.8,93.84,80.0
O500072,2024-11-13,2024-11-17,2024-11-22,C100026,Northeast,New York,Buffalo,Marketplace,Credit Card,Express,VIP20,Delivered,False,7,86.34,10.36,2.28,73.7,11.99,5.96,91.65,59.28,14.42
O500073,2025-06-28,2025-06-30,2025-07-03,C100026,Northeast,New York,Buffalo,Mobile App,Apple Pay,Express,FREESHIP,Delivered,False,8,137.7,0.0,0.0,137.7,6.0,10.79,154.49,75.39,62.31
O500074,2024-01-24,2024-01-26,2024-01-28,C100027,West,California,San Jose,Marketplace,Google Pay,Standard,,Delivered,True,1,79.44,0.0,0.0,79.44,5.99,6.24,91.67,44.82,34.62
O500075,2024-06-22,2024-06-25,2024-06-28,C100027,West,California,San Jose,Website,PayPal,Standard,VIP20,Delivered,False,2,307.66,36.92,13.54,257.2,0.0,20.28,277.48,169.84,87.36
O500076,2024-07-18,2024-07-20,2024-07-24,C100027,West,California,San Jose,Website,Buy Now Pay Later,Express,WELCOME10,Delivered,False,3,241.29,16.89,6.73,217.67,6.0,15.39,239.06,133.15,84.52
O500077,2024-08-08,2024-08-10,2024-08-13,C100027,West,California,San Jose,Marketplace,Credit Card,Standard,,Delivered,False,4,62.98,0.0,0.0,62.98,5.99,5.87,74.84,27.94,35.04
O500078,2024-10-24,2024-10-27,2024-10-29,C100027,West,California,San Jose,Website,Apple Pay,Standard,,Delivered,False,5,357.44,1.77,0.0,355.67,0.0,21.32,376.99,231.32,124.35
O500079,2025-04-09,2025-04-11,2025-04-17,C100027,West,California,San Jose,Website,Credit Card,Standard,SPRING15,Delivered,False,6,401.65,38.85,10.88,351.92,0.0,28.82,380.74,272.04,79.88
O500080,2025-06-07,2025-06-08,2025-06-12,C100027,West,California,San Jose,Mobile App,Credit Card,Standard,WELCOME10,Delivered,False,7,80.15,4.01,2.28,73.86,5.99,4.67,84.52,46.79,27.07
O500081,2024-08-30,2024-09-01,2024-09-06,C100028,Midwest,Ohio,Columbus,Website,Credit Card,Standard,BF2024,Delivered,True,1,295.04,29.51,7.97,257.56,0.0,15.53,273.09,183.93,73.63
O500082,2025-03-29,2025-04-01,2025-04-05,C100028,Midwest,Ohio,Columbus,Marketplace,PayPal,Standard,FREESHIP,Delivered,False,2,144.76,0.0,0.0,144.76,0.0,9.3,154.06,92.22,52.54
O500083,2025-04-17,2025-04-19,2025-04-22,C100031,Northeast,New York,Rochester,Website,PayPal,Standard,SUMMER10,Delivered,True,1,21.59,2.16,0.58,18.85,5.99,1.59,26.43,13.3,5.55
O500084,2024-03-17,2024-03-19,2024-03-23,C100032,West,Washington,Bellevue,Marketplace,Credit Card,Same Day,,Delivered,True,1,437.74,15.27,0.0,422.47,13.0,37.82,473.29,225.66,196.81
O500085,2024-05-12,2024-05-14,2024-05-17,C100032,West,Washington,Bellevue,Website,Credit Card,Standard,VIP20,Delivered,False,2,247.88,29.74,6.54,211.6,0.0,18.14,229.74,143.54,68.06
O500086,2024-12-05,2024-12-06,2024-12-11,C100032,West,Washington,Bellevue,Website,PayPal,Express,WELCOME10,Delivered,False,3,226.05,20.24,0.0,205.81,6.0,16.14,227.95,111.78,94.03
O500087,2025-01-31,2025-02-01,2025-02-04,C100032,West,Washington,Bellevue,Website,Apple Pay,Standard,SUMMER10,Delivered,False,4,157.52,12.6,4.35,140.57,0.0,9.13,149.7,108.89,31.68
O500088,2025-06-30,2025-07-01,2025-07-04,C100032,West,Washington,Bellevue,Website,Credit Card,Standard,BF2024,Delivered,False,5,344.75,34.48,15.51,294.76,0.0,19.02,313.78,201.49,93.27
O500089,2024-02-01,2024-02-04,2024-02-08,C100033,Midwest,Illinois,Chicago,Website,PayPal,Standard,BF2024,Delivered,True,1,263.5,26.36,7.11,230.03,0.0,18.44,248.47,147.03,83.0
O500090,2024-03-29,2024-03-31,2024-04-03,C100033,Midwest,Illinois,Chicago,Website,Credit Card,Standard,,Delivered,False,2,323.27,4.38,0.0,318.89,0.0,17.77,336.66,195.98,122.91
O500091,2024-06-12,2024-06-14,2024-06-18,C100033,Midwest,Illinois,Chicago,Marketplace,Buy Now Pay Later,Standard,,Delivered,False,3,161.0,0.0,0.0,161.0,0.0,13.55,174.55,103.82,57.18
O500092,2024-11-02,2024-11-04,2024-11-07,C100033,Midwest,Illinois,Chicago,Website,Google Pay,Standard,FREESHIP,Delivered,False,4,270.81,1.57,0.0,269.24,0.0,24.37,293.61,151.32,117.92
O500093,2025-01-05,2025-01-07,2025-01-09,C100033,Midwest,Illinois,Chicago,Website,Google Pay,Express,BF2024,Delivered,False,5,318.66,31.87,0.0,286.79,6.0,19.33,312.12,207.04,79.75
O500094,2025-04-20,2025-04-23,2025-04-26,C100033,Midwest,Illinois,Chicago,Mobile App,Credit Card,Express,BF2024,Delivered,False,6,31.23,3.12,0.84,27.27,11.99,2.57,41.83,13.97,13.3
O500095,2024-02-16,2024-02-18,2024-02-22,C100034,West,California,San Jose,Website,Credit Card,Standard,SUMMER10,Delivered,True,1,197.99,15.83,9.11,173.05,0.0,12.63,185.68,113.24,59.81
O500096,2024-06-14,2024-06-16,2024-06-18,C100034,West,California,San Jose,Marketplace,Buy Now Pay Later,Standard,SPRING15,Delivered,False,2,64.91,5.64,0.0,59.27,5.99,4.79,70.05,39.97,19.3
O500097,2025-03-05,2025-03-07,2025-03-11,C100035,South,Florida,Tampa,Mobile App,Buy Now Pay Later,Standard,VIP20,Delivered,True,1,120.13,14.42,3.17,102.54,0.0,7.01,109.55,64.53,38.01
O500098,2024-02-11,2024-02-14,2024-02-18,C100037,South,Texas,Houston,Website,PayPal,Standard,SPRING15,Delivered,True,1,84.46,4.22,0.0,80.24,5.99,5.22,91.45,44.22,36.02
O500099,2024-05-15,2024-05-16,2024-05-19,C100037,South,Texas,Houston,Mobile App,PayPal,Standard,,Delivered,False,2,305.4,8.24,0.0,297.16,0.0,16.44,313.6,183.15,114.01
O500100,2024-07-16,2024-07-17,2024-07-20,C100037,South,Texas,Houston,Website,Buy Now Pay Later,Express,,Delivered,False,3,144.05,0.0,0.0,144.05,6.0,8.98,159.03,76.77,67.28
O500101,2024-08-04,2024-08-07,2024-08-10,C100037,South,Texas,Houston,Marketplace,Apple Pay,Standard,SPRING15,Delivered,False,4,172.1,14.99,4.71,152.4,0.0,9.65,162.05,113.79,38.61
O500102,2024-11-24,2024-11-27,2024-12-01,C100037,South,Texas,Houston,Marketplace,Buy Now Pay Later,Standard,,Delivered,False,5,322.3,0.0,0.0,322.3,0.0,27.95,350.25,186.96,135.34
O500103,2025-01-17,2025-01-21,2025-01-23,C100037,South,Texas,Houston,Website,Credit Card,Standard,SPRING15,Delivered,False,6,249.77,20.7,6.87,222.2,0.0,16.29,238.49,172.7,49.5
O500104,2025-01-28,2025-01-30,2025-02-05,C100037,South,Texas,Houston,Marketplace,Apple Pay,Standard,SUMMER10,Delivered,False,7,327.73,29.05,8.96,289.72,0.0,16.8,306.52,181.38,108.34
O500105,2025-05-16,2025-05-18,2025-05-21,C100037,South,Texas,Houston,Website,PayPal,Same Day,,Delivered,False,8,155.7,0.0,0.0,155.7,13.0,12.48,181.18,93.58,62.12
O500106,2024-03-09,2024-03-11,2024-03-14,C100039,West,Arizona,Phoenix,Website,PayPal,Standard,NEWYEAR10,Delivered,True,1,413.27,35.65,0.0,377.62,0.0,24.13,401.75,283.68,93.94
O500107,2024-08-01,2024-08-03,2024-08-05,C100039,West,Arizona,Phoenix,Mobile App,Buy Now Pay Later,Express,,Delivered,False,2,304.08,5.19,0.0,298.89,6.0,26.84,331.73,212.09,86.8
O500108,2024-10-13,2024-10-15,2024-10-18,C100039,West,Arizona,Phoenix,Website,Buy Now Pay Later,Standard,WELCOME10,Delivered,False,3,154.98,12.4,0.0,142.58,0.0,10.1,152.68,89.64,52.94
O500109,2024-10-30,2024-10-31,2024-11-03,C100039,West,Arizona,Phoenix,Website,PayPal,Standard,WELCOME10,Delivered,False,4,341.0,27.28,0.0,313.72,0.0,20.13,333.85,223.48,90.24
O500110,2025-01-28,2025-01-30,2025-02-02,C100039,West,Arizona,Phoenix,Website,Credit Card,Standard,WELCOME10,Delivered,False,5,120.84,6.04,5.74,109.06,0.0,7.42,116.48,72.42,36.64
O500111,2025-06-08,2025-06-09,2025-06-12,C100039,West,Arizona,Phoenix,Website,PayPal,Standard,,Delivered,False,6,106.58,0.0,0.0,106.58,0.0,6.03,112.61,59.18,47.4
O500112,2025-01-18,2025-01-20,2025-01-25,C100040,Midwest,Michigan,Detroit,Website,Credit Card,Standard,,Delivered,True,1,136.93,0.0,0.0,136.93,0.0,12.58,149.51,85.3,51.63
O500113,2025-03-03,2025-03-05,2025-03-09,C100040,Midwest,Michigan,Detroit,Mobile App,Credit Card,Standard,SPRING15,Delivered,False,2,171.15,14.11,0.0,157.04,0.0,9.95,166.99,83.93,73.11
O500114,2025-04-29,2025-04-30,2025-05-05,C100041,Midwest,Ohio,Columbus,Website,PayPal,Standard,NEWYEAR10,Delivered,True,1,91.02,9.1,2.46,79.46,5.99,5.56,91.01,72.43,7.03
O500115,2025-01-03,2025-01-05,2025-01-08,C100042,Northeast,Massachusetts,Cambridge,Mobile App,Credit Card,Same Day,,Delivered,True,1,258.82,0.0,0.0,258.82,13.0,14.5,286.32,152.9,105.92
O500116,2025-01-24,2025-01-26,2025-01-30,C100042,Northeast,Massachusetts,Cambridge,Website,PayPal,Express,SUMMER10,Delivered,False,2,20.89,1.67,0.58,18.64,11.99,1.17,31.8,15.27,3.37
O500117,2025-03-10,2025-03-13,2025-03-16,C100042,Northeast,Massachusetts,Cambridge,Mobile App,Credit Card,Standard,NEWYEAR10,Delivered,False,3,66.48,5.32,0.0,61.16,5.99,3.51,70.66,20.63,40.53
O500118,2025-05-04,2025-05-07,2025-05-12,C100042,Northeast,Massachusetts,Cambridge,Mobile App,Apple Pay,Express,,Delivered,False,4,273.39,11.67,0.0,261.72,6.0,18.3,286.02,156.09,105.63
O500119,2025-06-07,2025-06-10,2025-06-15,C100045,West,California,Los Angeles,Mobile App,Credit Card,Standard,BF2024,Delivered,True,1,336.76,33.67,9.09,294.0,0.0,26.18,320.18,185.47,108.53
O500120,2024-10-29,2024-11-01,2024-11-04,C100046,Midwest,Ohio,Cleveland,Website,Credit Card,Standard,SPRING15,Delivered,True,1,92.74,9.27,2.5,80.97,5.99,5.35,92.31,42.85,38.12
O500121,2025-04-27,2025-04-29,2025-05-02,C100047,South,Texas,San Antonio,Website,Credit Card,Standard,BF2024,Delivered,True,1,83.68,8.37,0.0,75.31,5.99,4.49,85.79,52.04,23.27
O500122,2025-03-12,2025-03-13,2025-03-19,C100048,West,California,Sacramento,Marketplace,PayPal,Standard,,Delivered,True,1,112.28,0.0,0.0,112.28,0.0,8.43,120.71,81.87,30.41
O500123,2025-03-14,2025-03-15,2025-03-17,C100048,West,California,Sacramento,Website,Apple Pay,Standard,SUMMER10,Delivered,False,2,503.78,40.31,13.9,449.57,0.0,37.47,487.04,299.44,150.13
O500124,2024-02-21,,,C100049,South,Florida,Jacksonville,Website,PayPal,Same Day,BF2024,Cancelled,True,1,42.3,4.23,0.0,0.0,0.0,0.0,0.0,27.15,0.0
O500125,2024-08-12,2024-08-14,2024-08-18,C100049,South,Florida,Jacksonville,Website,Credit Card,Standard,SUMMER10,Delivered,False,2,186.84,14.95,5.16,166.73,0.0,14.72,181.45,96.12,70.61
O500126,2024-03-10,2024-03-11,2024-03-14,C100051,West,Colorado,Denver,Website,Credit Card,Standard,,Delivered,True,1,119.52,0.0,0.0,119.52,0.0,11.19,130.71,72.42,47.1
O500127,2024-10-04,2024-10-07,2024-10-13,C100051,West,Colorado,Denver,Marketplace,Credit Card,Express,SPRING15,Delivered,False,2,84.86,6.79,3.9,74.17,11.99,5.33,91.49,46.04,28.13
O500128,2024-10-31,2024-11-03,2024-11-05,C100051,West,Colorado,Denver,Marketplace,Credit Card,Express,BF2024,Delivered,False,3,146.44,14.64,0.0,131.8,6.0,8.99,146.79,75.33,56.47
O500129,2024-11-12,2024-11-13,2024-11-15,C100052,South,Georgia,Atlanta,Mobile App,Credit Card,Express,WELCOME10,Delivered,True,1,208.12,20.81,5.62,181.69,6.0,16.63,204.32,145.29,36.4
